Json Log,Receive Time,Resource labels container group name,Resource labels container group version,Resource labels instance id,Resource labels machine id,Resource labels organization id,Resource labels organization name,Resource labels project name,Resource type,Severity,Text Log,Time
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    91 _RELOADING = {}                                                        │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    90                                                                        │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    89                                                                        │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│ ❱  88 │   return _bootstrap._gcd_import(name[level:], package, level)        │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    87 │   │   │   level += 1                                                 │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    86 │   │   │   │   break                                                  │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    85 │   │   │   if character != '.':                                       │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│                                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ /usr/local/lib/python3.13/importlib/__init__.py:88 in import_module          │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│                                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    73 │   │   logger.warning(                                                │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│    72 │   │   logger.error(f""Import error: {e}"")                             │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│    71 │   except (ImportError, ValueError) as e:                             │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ ❱  70 │   │   mod = importlib.import_module(mod_data.module_import_str)      │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    69 │   try:                                                               │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,"│    68 def get_app_name(*, mod_data: ModuleData, app_name: Union[str, None] = │","2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│    67                                                                        │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│                                                                              │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ get_app_name                                                                 │,"2/14/2026, 12:25:52 AM"
,"2/14/2026, 12:25:52 AM",mandelbrot,1,0c77d976-9b24-4753-baae-2d33d0fc7839,8707d2d4-4ce6-c55f-b3a0-f3d52e4e57dd,ad3b2c71-b667-4537-9e7d-a82889921718,old-stock-consulting,old-stock-consulting-project,container,default,│ /usr/local/lib/python3.13/site-packages/fastapi_cli/discover.py:70 in        │,"2/14/2026, 12:25:52 AM"
